Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Rönesans Enerji Üretim ve Ticaret A.Ş.,-,-,-,-,-,-,Şehir : Ankara,Kuruluş Tarihi : 18.08.2009,
Smm Tekstil A.Ş.,Hazırlanıyor...,"
                    - %50 Şirketin finansal borçlarının geri ödemesinde. 
                    - %30 Şirketin işletme sermayesi ihtiyacının karşılanmasında.  
                    - %20 Şirketin büyüme stratejisi kapsamında marka ve lisans haklarının satın alınmasının finansmanında.  
- Fon Kullanım Yeri Raporu, Sayfa 1.
","
                    - Sermaye Artırımı : 10.500.000 Lot
                    - Ortak Satışı : 2.000.000 Lot (Murat Şimşek)
* Taslak İzahname, Sayfa 1.
","
                    - %27,4. 
* Taslak İzahname, Sayfa 107.
","
               *** T1-T2 Uygun. 
",-,Şehir : İstanbul,Kuruluş Tarihi : 15.05.2017,"; - Hasılat, 407,4 Milyon TL, 300,3 Milyon TL, 221,1 Milyon TL; - Brüt Kar, 70,9 Milyon TL, 49,5 Milyon TL, 21,8 Milyon TL"
Soybaş Demir Çelik San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 50.000.000 Lot
                    - Ortak Satışı : 5.000.000 Lot (Osman Soybaş)
                    - Ortak Satışı : 5.000.000 Lot (Ahmet Soybaş)
                    - Ortak Satışı : 2.500.000 Lot (Esra Soybaş)
* Taslak İzahname, Sayfa 1.
","
                    - %55-60 Yatırım finansmanı ve makine/ekipman alımları. 
                    - %15-20 GES (Güneş Enerjisi Santrali) yatırımı. 
                    - %25-30 İşletme sermayesi. 
* Taslak İzahname, Sayfa 258.
","
                    - 15 gün. 
* Taslak İzahname, Sayfa 254.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 256.
","
                    - %32,89. 
* Taslak İzahname, Sayfa 231.
",Şehir : Kocaeli,Kuruluş Tarihi : 27.02.1995,"; - Hasılat, 4,0 Milyar TL, 4,3 Milyar TL, 3,9 Milyar TL; - Brüt Kâr, 515,1 Milyon TL, 497,9 Milyon TL, 549,4 Milyon TL"
-,-,-,-,-,-,-,-,-,
Egeyapı Avrupa Gayrimenkul Yatırım Ortaklığı A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 25.000.000 Lot
                    - Ortak Satışı : 19.000.000 Lot (Hasan İnanç Kabadayı)
* Taslak İzahname, Sayfa 1.
","
                    - %95 Üretim maliyetlerinin finansmanı. 
                    - %5 Pazarlama ve genel yönetim giderlerinin finansmanı. 
* Taslak İzahname, Sayfa 173.
","
                    - 30 gün. * Brüt halka arz gelirinin %10'u. 
* Taslak İzahname, Sayfa 169.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 171.
","
                    - %25,14. 
* Taslak İzahname, Sayfa 151.
",Şehir : İstanbul,Kuruluş Tarihi : 12.02.2015,"; - Hasılat, 225,1 Milyon TL, 829,9 Milyon TL, 402,2 Milyon TL; - Brüt Kâr, 84,8 Milyon TL, 214,3 Milyon TL, 67,6 Milyon TL"
-,-,-,-,-,-,-,-,-,
Uslu Çsm Demir Çelik A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 21.000.000 Lot
                    - Ortak Satışı : 2.000.000 Lot (Selim Uslu)
                    - Ortak Satışı : 2.000.000 Lot (Ercan Uslu)
* Taslak İzahname, Sayfa 1.
","
                    - %10-20 Devam etmekte olan yatırımların tamamlanması. 
                    - %5-10 Enerji tasarrufu amaçlı Güneş Enerjisi Santrali (GES) kurulumu.  
                    - %40-60 Yeni fabrika yatırımı.  
                    - %20-30 İşletme sermayesi.  
* Taslak İzahname, Sayfa 216.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 213.
","
                    - %20,66. 
* Taslak İzahname, Sayfa 199.
","
                    - 2023 yılının ikinci yarısında tamamlanması planlanmaktadır. 
* Taslak İzahname, Sayfa 199.
",Şehir : İzmir,Kuruluş Tarihi : 14.02.2014,"; - Hasılat, 216,0 Milyon TL, 1,1 Milyar TL, 500,1 Milyon TL; - Brüt Kar, 30,2 Milyon TL, 87,6 Milyon TL, 133,2 Milyon TL"
GFS Holding A.Ş.,-,-,-,-,-,-,-,-,
Narlı Feribot İşletmeciliği A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 4.500.000 Lot
                    - Ortak Satışı : 3.000.000 Lot (Negmar Denizcilik Yatırım A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %100 Lojistik alanında depo yatırımlarının finansmanı.  
* Taslak İzahname, Sayfa 178.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 175.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 176.
","
                    - %25,42. 
* Taslak İzahname, Sayfa 163.
",Şehir : İstanbul,Kuruluş Tarihi : 05.10.2012,"; - Hasılat, 865,3 Milyon TL, 827,8 Milyon TL, 132,8 Milyon TL; - Brüt Kar, 157,2 Milyon TL, 117,4 Milyon TL, 67,0 Milyon TL"
Formül Plastik ve Metal Sanayi A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 30.000.000 Lot
                    - Ortak Satışı : 10.000.000 Lot (Haydar Şahin)
* Taslak İzahname, Sayfa 1.
","
                    - %70 Yatırımlar. 
                    - %30 İşletme sermayesi. 
* Taslak İzahname, Sayfa 203.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 201.
","
                    - %25. 
* Taslak İzahname, Sayfa 180.
","
               ** Bireysele Eşit Dağıtım. 
               *** T1-T2 Kullanılamaz.
               ",Şehir : İstanbul,Kuruluş Tarihi : 10.01.1992,"; - Hasılat, 1,9 Milyar TL, 2,1 Milyar TL, 1,8 Milyar TL; - Brüt Kâr, 604,6 Milyon TL, 611,1 Milyon TL, 338,5 Milyon TL"
