Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.,29-30-31 Mayıs 2024,"
                    - Sermaye Artırımı : 50.500.000 Lot
                    - Ortak Satışı : 10.500.000 Lot (Hamit Yiğit)
                    - Ortak Satışı : 7.000.000 Lot (Mahmut Yiğit)
                    - Ortak Satışı : 7.000.000 Lot (Eyüp Yiğit)
* SPK Bülteni, 2024/26.
","
                    - %20 Üretim tesisi ve yeni ürün yatırımları. 
                    - %40 Lityum batarya fabrikası yatırımları. 
                    - %30 İşletme sermayesi. 
                    - %10 Finansal borçların ödenmesi. 
* İzahname, Sayfa 225.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
                    (Halk Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 222.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 224.
","
                    - %24,96. 
* İzahname, Sayfa 182.
",Şehir : Ankara,Kuruluş Tarihi : 16.11.1981,"; - Hasılat, 6,2 Milyar TL, 8,0 Milyar TL, 6,3 Milyar TL; - Brüt Kâr, 1,1 Milyar TL, 857,1 Milyon TL, 686,1 Milyon TL"
Akçelik Demir Çelik San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - %25-30 Makine ve ekipman yatırımlarının finansmanı. 
                    - %35-40 Hammadde tedariki ve işletme sermayesi finansmanı. 
                    - %30-35 Finansal borç ödemeleri. 
* Taslak İzahname, Sayfa 172.
","
                    - Sermaye Artırımı : 18.500.000 Lot
                    - Ortak Satışı : 7.750.000 Lot (Salih Kılıç)
* Taslak İzahname, Sayfa 1.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 168.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 170.
","
                    - %15,58. 
* Taslak İzahname, Sayfa 152.
",Şehir : İzmir,Kuruluş Tarihi : 03.05.1990,"; - Hasılat, 4,1 Milyar TL, 2,2 Milyar TL, 828 Milyon TL; - Brüt Kar, 1 Milyar TL, 565,3 Milyon TL, 174 Milyon TL"
IBS Isıtma Soğutma Havalandırma Taahhüt San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 2.500.000 Lot
                    - Ortak Satışı : 2.000.000 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %32.5 Kredilerin geri ödenmesi. 
                    - %29 Yatırım harcamaları. 
                    - %38.5 İşletme sermayesi.  
* Taslak izahname, Sayfa 139.
","
               *** T1-T2 Uygun. 
",,,Şehir : İstanbul,Kuruluş Tarihi : 05.02.1997,
Gama Recycle Sürdürülebilir Teknolojiler A.Ş.,Hazırlanıyor...,"
                    - %25-30 İşletme sermayesi. 
                    - %70-75 Kısa vadeli kredilerin kapatılması.  
* Taslak İzahname, Sayfa 266.
","
                    - Sermaye Artırımı : 21.450.000 Lot
                    - Ortak Satışı : 16.500.000 Lot (Kaplan Holding A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - 30 gün, Brüt halka arz gelirinin %25'i. 
* Taslak İzahname, Sayfa 262.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 264.
","
                    - %20,35. 
* Taslak İzahname, Sayfa 246.
",Şehir : Gaziantep,Kuruluş Tarihi : 23.11.2001,"; - Hasılat, 1,1 Milyar TL, 671,3 Milyon TL, 297,5 Milyon TL; - Brüt Kar, 561,3 Milyon TL, 295,2 Milyon TL, 140,5 Milyon TL"
Hayri Ögelman Madencilik A.Ş.,,,,,,,,,
(enterprise) Yes Oto Kiralama ve Turizm Yatırımları A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 25.000.000 Lot
                    - Ortak Satışı : 10.000.000 Lot (Adnan Başdemir, Özarslan Abdulkadir Tangün, Mustafa Başdemir)
                    - Ek Ortak Satışı : 5.250.000 Lot (Adnan Başdemir, Özarslan Abdulkadir Tangün, Mustafa Başdemir)
* Taslak İzahname, Sayfa 1.
","
                    - %70 Yeni taşıt alımı, büyüme, yeni yatırımların finansmanı . 
                    - %30 İşletme sermayesi ve finansal borçların azaltılması.  
* Taslak İzahname, Sayfa 186.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 181.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 184.
","
                    - %25,16. Ek satış dahil. 
* Taslak İzahname, Sayfa 164.
",Şehir : İstanbul,Kuruluş Tarihi : 15.03.1990,"; - Hasılat, 2,6 Milyar TL, 2,7 Milyar TL, 2,0 Milyar TL; - Brüt Kar, 1,6 Milyar TL, 1,5 Milyar TL, 690,6 Milyon TL"
Zorlu Yenilenebilir Enerji A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 437.500.000 Lot
                    - Ortak Satışı : 291.670.000 Lot (Zorlu Enerji Elektrik Üretim A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - %55 Mevcut finansal borç ödemeleri. 
                    - %34 Enerji sektörü yatırımları. 
                    - %11 İşletme sermayesi. 
* Taslak İzahname, Sayfa 376.
","
                    - *** gün. 
* Taslak İzahname, Sayfa 372.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 374.
","
                    - %13,97. 
* Taslak İzahname, Sayfa 349.
",Şehir : İstanbul,Kuruluş Tarihi : 27.08.2020,"; - Hasılat, 8,9 Milyar TL, 12,3 Milyar TL, 11,3 Milyar TL; - Brüt Kâr, 1,5 Milyar TL, 3,5 Milyar TL, 3,2 Milyar TL"
Uslu Çsm Demir Çelik A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 21.000.000 Lot
                    - Ortak Satışı : 2.000.000 Lot (Selim Uslu)
                    - Ortak Satışı : 2.000.000 Lot (Ercan Uslu)
* Taslak İzahname, Sayfa 1.
","
                    - %10-20 Devam etmekte olan yatırımların tamamlanması. 
                    - %5-10 Enerji tasarrufu amaçlı Güneş Enerjisi Santrali (GES) kurulumu.  
                    - %40-60 Yeni fabrika yatırımı.  
                    - %20-30 İşletme sermayesi.  
* Taslak İzahname, Sayfa 216.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 213.
","
                    - %20,66. 
* Taslak İzahname, Sayfa 199.
","
                    - 2023 yılının ikinci yarısında tamamlanması planlanmaktadır. 
* Taslak İzahname, Sayfa 199.
",Şehir : İzmir,Kuruluş Tarihi : 14.02.2014,"; - Hasılat, 216,0 Milyon TL, 1,1 Milyar TL, 500,1 Milyon TL; - Brüt Kar, 30,2 Milyon TL, 87,6 Milyon TL, 133,2 Milyon TL"
Efeler Çiftliği Tarım ve Hayvancılık A.Ş.,,,,,,,Şehir : Aydın,Kuruluş Tarihi : 31.01.2011,
Netcad Yazılım A.Ş.,Hazırlanıyor...,"
                    - %30 Arge yatırımları. 
                    - %30 Yurtdışı yatırımlar.  
                    - %40 Şirket satın alma fırsatlarının değerlendirilmesi.  
* Taslak İzahname, Sayfa 214,215.
","
                    - Sermaye Artırımı : 5.000.000 Lot
                    - Ortak Satışı : 11.850.000 Lot (Eurocad Sarl.)
                    - Ortak Satışı : 3.150.000 Lot (Evon Yapı Proje İnş. Mühendislik Bilgisayar San. ve Tic. A.Ş.)
                    - Ek Ortak Satışı : 2.370.000 Lot (Eurocad Sarl.)
                    - Ek Ortak Satışı : 630.000 Lot (Evon Yapı Proje İnş. Mühendislik Bilgisayar San. ve Tic. A.Ş.)
* Taslak İzahname, Sayfa 1.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 210.
","
                    - %41,82. (Ek şatış ile) 
* Taslak İzahname, Sayfa 188.
","
               *** T1-T2 Kullanılamaz.
               ",Şehir : Ankara,,
